time,open,close
2008/5/8,3538.92,3656.84
2008/5/9,3682.95,3613.49
2008/5/12,3548.61,3626.98
2008/5/13,3515.71,3560.24
2008/5/14,3549.67,3657.43
2008/5/15,3676.84,3637.32
2008/5/16,3637.64,3624.23
2008/5/19,3615.59,3604.76
2008/5/20,3601.55,3443.16
2008/5/21,3414.34,3544.19
2008/5/22,3493.07,3485.63
2008/5/23,3473.8,3473.09
2008/5/26,3442.29,3364.54
2008/5/27,3355.11,3375.41
2008/5/28,3382.77,3459.03
2008/5/29,3447.77,3401.44
2008/5/30,3414.25,3433.35
2008/6/2,3426.2,3459.04
2008/6/3,3456.58,3436.4
2008/6/4,3424.04,3369.91
2008/6/5,3355.93,3351.64
2008/6/6,3362.01,3329.67
2008/6/10,3202.11,3072.33
2008/6/11,3042.16,3024.24
2008/6/12,3011.56,2957.53
2008/6/13,2960.91,2868.8
2008/6/16,2876.29,2874.1
2008/6/17,2873.13,2794.75
2008/6/18,2772.37,2941.11
2008/6/19,2921.72,2748.87
2008/6/20,2811.08,2831.74
2008/6/23,2780.15,2760.42
2008/6/24,2747.32,2803.02
2008/6/25,2794.04,2905.01
2008/6/26,2904.09,2901.85
2008/6/27,2809.31,2748.43
2008/6/30,2724.4,2736.1
2008/7/1,2743.16,2651.61
2008/7/2,2656.04,2651.72
2008/7/3,2610.82,2703.53
2008/7/4,2691.21,2669.89
2008/7/7,2673.55,2792.4
2008/7/8,2805.61,2814.95
2008/7/9,2838.86,2920.55
2008/7/10,2879.62,2875.45
2008/7/11,2863.81,2856.63
2008/7/14,2837.49,2878.26
2008/7/15,2886.11,2779.45
2008/7/16,2753.9,2705.87
2008/7/17,2747.95,2684.78
2008/7/18,2711.74,2778.37
2008/7/21,2759.88,2861.42
2008/7/22,2852.44,2846.12
2008/7/23,2870.93,2837.85
2008/7/24,2861.81,2910.29
2008/7/25,2875.77,2865.1
2008/7/28,2883.76,2903.01
2008/7/29,2868.01,2850.31
2008/7/30,2884.59,2836.67
2008/7/31,2844.65,2775.72
2008/8/1,2751.02,2801.82
2008/8/4,2782.99,2741.74
2008/8/5,2751.2,2690.75
2008/8/6,2711.6,2719.37
2008/8/7,2717.5,2727.58
2008/8/8,2724.43,2605.72
2008/8/11,2595.89,2470.07
2008/8/12,2445.22,2457.2
2008/8/13,2440.53,2446.3
